"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774495714070208684","Sun Mar 31 17:56:01 +0000 2024","0","@sunkissad Normal kan?","1774495880437203281","","sunkissad","in","","0","0","0","https://x.com/RamadhisD/status/1774495880437203281","1553874297319731200","RamadhisD"
"1774472539680760052","Sun Mar 31 17:54:10 +0000 2024","0","@jogmfs Iso tuku omah jeron beteng","1774495416358519270","","jogmfs","in","Yogyakarta, Indonesia","0","1","0","https://x.com/DimasBhagavad/status/1774495416358519270","1359053456900648961","DimasBhagavad"
"1774495095267672073","Sun Mar 31 17:52:53 +0000 2024","0","Dari tim yg tiap ketemu City sama Pool jadi lumbung gol ke tim yg tak terkalahkan home (dua menang) dan away (dua draw) Progres yg menarik pak Teta. #YaGunnersYa #RamadanKareem","1774495095267672073","","","in","1927x1886","0","0","0","https://x.com/DimasFatahilla/status/1774495095267672073","246055136","DimasFatahilla"
"1774460524539101554","Sun Mar 31 17:52:31 +0000 2024","0","@fslakbr23 @GIBOLofficial laa itu ada Sananta Dimas Drajad masa iyaa gaada striker","1774495002795925934","","fslakbr23","in","","0","0","0","https://x.com/Ear4477/status/1774495002795925934","1501617888855478272","Ear4477"
"1774460524539101554","Sun Mar 31 17:51:49 +0000 2024","0","@Onethousand_D @GIBOLofficial laa itu ada Sananta sama Dimas Drajad","1774494823980098003","","enakiiin1","in","","0","0","0","https://x.com/Ear4477/status/1774494823980098003","1501617888855478272","Ear4477"
"1773997396776931623","Sun Mar 31 17:50:32 +0000 2024","0","@Dimas_Aldiansah @tanyakanrl selalu ada lagian setelah minta maaf ","1774494500347671004","","Dimas_Aldiansah","in","bandung, Indonesia","0","0","0","https://x.com/helloimlika/status/1774494500347671004","152625059","helloimlika"
"1774494421041488158","Sun Mar 31 17:50:13 +0000 2024","0","Vtmnc rinite do crlh","1774494421041488158","","","in","","0","0","0","https://x.com/perola_dimas/status/1774494421041488158","1602824572910419968","perola_dimas"
"1774397284169757134","Sun Mar 31 17:46:11 +0000 2024","0","@SP_IndiraJKT48 banyakk bgt emg jeote jeote https://t.co/Y9di0OvfD8","1774493409287541086","https://pbs.twimg.com/media/GKBEWSAaMAAnIMD.jpg","SP_IndiraJKT48","in","Surakarta, Jawa Tengah","0","0","0","https://x.com/ngokkkz/status/1774493409287541086","1766392371384872960","ngokkkz"
"1774468195589747020","Sun Mar 31 17:46:00 +0000 2024","0","@AgusMagelangan full ngapak ae mas","1774493360516104623","","AgusMagelangan","in","","0","0","0","https://x.com/dimas_kappe/status/1774493360516104623","1215519902","dimas_kappe"
"1774458590360965496","Sun Mar 31 17:45:09 +0000 2024","0","@saltykittenz @asphinot @worksfess Definisi di dahulu kan?","1774493145423917190","","adoorab0wl","in","","0","1","0","https://x.com/RamadhisD/status/1774493145423917190","1553874297319731200","RamadhisD"
"1774444509507789132","Sun Mar 31 17:45:03 +0000 2024","0","@deonhardt @yoschda gw mipa 4 cok","1774493122963357752","","","in","he/him legal","0","2","0","https://x.com/seijuzro/status/1774493122963357752","1501089115043172352","seijuzro"
"1774491433787162973","Sun Mar 31 17:40:41 +0000 2024","0","@MasMasBiassaa Emg ngincernya imbang mas","1774492024357695742","","MasMasBiassaa","in","Yogyakarta, Indonesia","0","0","0","https://x.com/DimasBhagavad/status/1774492024357695742","1359053456900648961","DimasBhagavad"
"1774480041369633237","Sun Mar 31 17:39:50 +0000 2024","0","@ailurophilos Bukan gitu","1774491807939801593","","ailurophilos","in","soc","0","0","0","https://x.com/dimasgetmail/status/1774491807939801593","4163495112","dimasgetmail"
"1774332540561805809","Sun Mar 31 17:39:30 +0000 2024","0","@urcbil yauda sini","1774491724838228034","","urcbil","in","soc","0","0","0","https://x.com/dimasgetmail/status/1774491724838228034","4163495112","dimasgetmail"
"1774489482445938835","Sun Mar 31 17:38:08 +0000 2024","0","Dimas jg mauan klo aku suruh jemput dimanapun itu walaupun ngomel dia akan ttp muterin surabaya dan jemput aku Banyak sbnernya cm yg itu dulu deh ntar cerita lagi Love u boys","1774491383488983398","","cheeljh","in","","0","0","0","https://x.com/cheeljh/status/1774491383488983398","1274648706319450113","cheeljh"
"1774431664514683208","Sun Mar 31 17:37:35 +0000 2024","0","@wiishmeeluuck gpp kak gaharus cepat penting lulus tepat waktu","1774491241847357931","","wiishmeeluuck","in","soc","0","1","0","https://x.com/dimasgetmail/status/1774491241847357931","4163495112","dimasgetmail"
"1774491177578070491","Sun Mar 31 17:37:19 +0000 2024","0","at least di musim ini city gak bisa ngalahin arsenal.","1774491177578070491","","","in","Vormir","0","0","0","https://x.com/dimasfachrudin/status/1774491177578070491","114163354","dimasfachrudin"
"1774488253770637526","Sun Mar 31 17:35:40 +0000 2024","1","@idextratime @bliblidotcom Unggul 19 poin dari emyu dan 27 poin dari celsi.","1774490760236433692","","idextratime","in","","0","0","0","https://x.com/Dimas_Majid1/status/1774490760236433692","1543276648094502912","Dimas_Majid1"
"1774431664514683208","Sun Mar 31 17:35:23 +0000 2024","0","@auraslalubenar bisa pilih yang dobel saja itu ya berarti","1774490687532368219","","auraslalubenar","in","soc","0","0","0","https://x.com/dimasgetmail/status/1774490687532368219","4163495112","dimasgetmail"
"1774489511483039917","Sun Mar 31 17:35:10 +0000 2024","0","@idextratime Eti di penutup akhir bulan ini berhasil tembus 1 juta followers ngomong² sekarang 1 April ya Eti? https://t.co/lcNU3cec3v","1774490635065860102","https://pbs.twimg.com/media/GKBB1A1asAArFsu.png","idextratime","in","","0","0","0","https://x.com/DimasAN48/status/1774490635065860102","1287767622843432961","DimasAN48"
"1774077301095096409","Sun Mar 31 17:34:52 +0000 2024","0","@kikysaputrii Mba @kikysaputrii GK Mau Longgarin Jadwal?? Mohon Maaf Kan Sempet Ke Guguran","1774490561598357752","","kikysaputrii","in","","0","0","0","https://x.com/DimasPramuja77/status/1774490561598357752","1653074339628224513","DimasPramuja77"
"1774431664514683208","Sun Mar 31 17:34:18 +0000 2024","0","@letstrydude sender saja juga bingung ini","1774490415389114800","","letstrydude","in","soc","0","0","0","https://x.com/dimasgetmail/status/1774490415389114800","4163495112","dimasgetmail"
"1774489482445938835","Sun Mar 31 17:32:43 +0000 2024","0","Aku suka lupa war tiket kereta hari jumat dan dimas akan selalu nanya pulang apa ngga dan tbtb dah ada aja tiket buat aku pulang jumat malem. Aku suka keluar main malem pulang pun naik kereta malem dan kakak/ sepupuku selalu mau aja jemput dimanapun","1774490020268879942","","cheeljh","in","","0","2","0","https://x.com/cheeljh/status/1774490020268879942","1274648706319450113","cheeljh"
"1774431664514683208","Sun Mar 31 17:32:21 +0000 2024","0","@wiishmeeluuck Iya bener juga sih lulus berapa tahun kuliahnya?","1774489927352467907","","wiishmeeluuck","in","soc","0","1","0","https://x.com/dimasgetmail/status/1774489927352467907","4163495112","dimasgetmail"
"1774489281349968212","Sun Mar 31 17:32:01 +0000 2024","2","@idextratime tadi juga ada siapa itu gampang banget ngambil bola dari kaki doku wkwk. tomiyasu keknya","1774489841151164516","","idextratime","in","Vormir","0","0","0","https://x.com/dimasfachrudin/status/1774489841151164516","114163354","dimasfachrudin"
"1774488778188669215","Sun Mar 31 17:30:23 +0000 2024","0","@jabbarp_ Beruntung haaland sama doku lagi cosplay jadi nunez dan sterling bang","1774489430323282248","","jabbarp_","in","","0","1","0","https://x.com/DimasAl82089557/status/1774489430323282248","1247507657520373760","DimasAl82089557"
"1774485004791488657","Sun Mar 31 17:29:46 +0000 2024","2","@idn_abroad i hope sebanyak banyak nya kalo ada pemain bagus yang mau","1774489276803318113","","idn_abroad","in","tribun","0","0","0","https://x.com/sleepypetter/status/1774489276803318113","1662166336636850178","sleepypetter"
"1774453402577289290","Sun Mar 31 17:29:46 +0000 2024","0","@assertndayy Bener itu","1774489276526604379","","assertndayy","in","soc","0","0","0","https://x.com/dimasgetmail/status/1774489276526604379","4163495112","dimasgetmail"
"1774469266936652118","Sun Mar 31 17:29:30 +0000 2024","1","@Maulana90458814 Sama sama kuat bye om met rehat ya","1774489209463779492","","Maulana90458814","in","Jakarta Selatan  🇲🇨","0","1","0","https://x.com/Dimasbravia1102/status/1774489209463779492","1315667947877142528","Dimasbravia1102"
"1774434245383246274","Sun Mar 31 17:29:24 +0000 2024","0","@hanadulsett_ Boleh mutualan gak kak","1774489184558055909","","hanadulsett_","in","soc","0","0","0","https://x.com/dimasgetmail/status/1774489184558055909","4163495112","dimasgetmail"
"1774431664514683208","Sun Mar 31 17:28:29 +0000 2024","0","@shedieatdec smgt akak","1774488952189399494","","whatudorn","in","soc","0","0","0","https://x.com/dimasgetmail/status/1774488952189399494","4163495112","dimasgetmail"
"1774488932610363515","Sun Mar 31 17:28:24 +0000 2024","0","Pucuk sementara","1774488932610363515","","","in","Ba Sing Se","0","0","0","https://x.com/deidiemamas/status/1774488932610363515","250502580","deidiemamas"
